Utilization,E[N],P_IDLE
25,0.45026331141069387,68.87969863247186
26,0.4811055376744686,67.66374373859078
27,0.5092977625499047,66.2138700182988
28,0.5408510984563508,64.94748126533952
29,0.5659298759428619,63.83126988214687
30,0.5941961553895604,62.664552760033565
31,0.635824404358244,61.21132921866157
32,0.6659003179638306,60.041165961371675
33,0.7015323651744458,58.79917938533807
34,0.7441493523633552,57.41780452569443
35,0.7785558627010238,56.23267832681614
36,0.8254905228540319,54.69389647889656
37,0.851569786354298,53.992359189397035
38,0.9040870575458713,52.60304531097727
39,0.9435461618549881,51.40375590745596
40,0.9865509561999383,50.14163175253784
41,1.045221081384289,48.846350605630754
42,1.0912321675773091,47.53063996207318
43,1.1650078672539148,46.26560524564881
44,1.2302372923215494,45.112072256088496
45,1.2889936187290614,43.81482219791218
46,1.3387693551260935,42.59945741517817
47,1.4215821825673858,41.38182703968457
48,1.4915466786273308,40.05288587411063
49,1.5783948640355034,38.82901726953343
50,1.649193422771079,37.557284668783346
51,1.7656463118288,36.28927976569265
52,1.8359316709812212,35.02235951958503
53,1.968334912372749,33.55995163910899
54,2.054560480496833,32.514816483340255
55,2.172570754511155,31.531096460074913
56,2.3413034257306116,30.143433076179065
57,2.4181127418597654,29.08941197108328
58,2.689030222244902,27.16809806753559
59,2.8318026071242968,26.254424640531475
60,2.951622839358838,25.18700100373244
61,3.274653086537231,23.47124274648659
62,3.4837092990413745,22.124056245537496
63,3.771637225221818,20.924624473773928
64,3.99534622848388,20.063658720875964
65,4.388147268481628,18.795401452072642
66,4.671946917764676,17.562990987144815
67,5.002449722127762,16.52977307610704
68,5.760304652652488,14.845233666366935
69,6.151374372233812,13.854314589429107
70,7.107108130743628,12.642078881773317
71,7.909516628661787,11.352693641218249
72,9.562154518932626,9.609885559154847
73,10.32658898014495,8.762378052550243
74,11.873612010871387,7.910564790170123
75,14.951642427823982,6.1518457838005425
76,19.331804736141944,5.0930573966813375
77,25.993010870418928,3.8835460511030893
78,30.690911524740127,2.948387709061427
79,105.03027567435106,0.8918170163339869
80,160.83682972838722,0.5063046219566081
81,1389.1995428860405,0.005555251498325873
82,5150.741181012662,0.0031607064880350044
83,7258.775805664756,0.0017684893306814645
84,10082.547147595245,0.002775290914942982
85,13505.498304651435,0.005356885083413183
86,15498.674365209628,0.005210519224941042
87,17596.340171441872,0.010799455911513345
88,19969.724948433566,0.0025880339455994976
89,22097.360909136678,0.004746702675241764
90,24961.53492073861,0.0040129953620162
91,27464.2527682506,0.0007353318072033743
92,30473.719610197513,0.0008502395044829029
93,31682.765648867782,0.002310609089247146
94,35465.39291251931,0.0021330640246946544
